UL,Date,Expiration,Strike,PriceTime,TimeToExp,Bid,Ask,Horizon
US 500,2021-07-16,14:20,4332.75,14:11,9,"['72.5', ' 75', ' 70', ' 70']","['74', ' 77', ' 71', ' 71']",NaN
US 500,2021-07-16,14:20,4332.75,14:12,8,"['70', ' 73', ' 48', ' 55']","['72', ' 75.5', ' 51', ' 59']",NaN
US 500,2021-07-16,14:20,4332.75,14:13,7,"['54', ' 59.5', ' 30', ' 42']","['59', ' 62', ' 35', ' 47']",NaN
US 500,2021-07-16,14:20,4332.75,14:14,6,"['43', ' 64', ' 34', ' 62']","['48', ' 68', ' 37.5', '66']",NaN
US 500,2021-07-16,14:20,4332.75,14:15,5,"['62.5', ' 80.5', ' 59', '70']","['69', ' 82.5', '63', ' 69']",Up
US 500,2021-07-16,14:20,4332.75,14:16,4,"['71', ' 92', ' 56', ' 91']","['77', ' 95', ' 64', ' 93.5']",NaN
US 500,2021-07-16,14:20,4332.75,14:17,3,"['91', ' 93', ' 90', ' 89']","['93.5', '99.5', '92.5', '93.5']",NaN
US 500,2021-07-16,14:20,4332.75,14:18,2,"['90.5', '92', '88', '92.5']","['93.5', '99.5', '93.5', '99.5']",NaN
US 500,2021-07-16,14:20,4332.75,14:19,1,"['92.5', '92.5', '80', '80']","['99.5', '99.5', '99.5', '99.5']",NaN
US 500,2021-07-16,14:20,4332.75,14:20,0,100,100,Expy
